中文名,英文名,分子式,分子量,CAS号,危规号,性状,溶解性,熔点（℃）,沸点（℃）,相对密度（水＝1）,临界温度（℃）,临界压力（MPa）,相对密度（空气＝1）,燃烧热（KJ/mol）,最小点火能（mJ）,饱和蒸汽压（KPa）,燃烧性,燃烧分解产物,闪点（℃）,聚合危害,爆炸下限（％）,爆炸上限（％）,稳定性,最大爆炸压力（MPa）,引燃温度（℃）,禁忌物,危险特性,消防措施,灭火方法,接触限值,毒理资料,侵入途径,健康危害,皮肤接触,眼睛接触,吸入,食入,工程防护,呼吸系统防护,身体防护,手防护,其他防护,泄漏处理,包装标志,UN编号,包装分类,包装方法,储运条件,饱和蒸汽压（kPa）,饱和蒸汽压（UPa）
硫氢化钠(含结晶水＜25％),Sodium hydrosulphide,NaHS,56.1,,42011,无色针状至柠檬黄薄片状结晶或熔融固体。具有硫化氢臭味。,极易溶于水。,55℃,,1.79,,,,,,,易燃,,,,,,,,,,极易吸湿。在潮湿空气中迅速分解成氢氧化钠和硫化钠，并放热，易自燃。,灭火剂：用砂土和二氧化碳灭火。,,,,吸入、食入、经皮肤吸收。,与皮肤和黏膜接触呈强刺激性。一般认为与硫化钠相同。吸入硫化氢可以引起急性中毒。,用大量水冲洗。,眼睛受刺激时用大量水冲洗，就医。,皮肤接触时用大量水冲洗。误服立即漱口，饮水，并送医院救治。,,,,,,,用水冲洗，稀释后的污水放入废水系统。,自燃物品,2318,Ⅱ,玻璃瓶外木板箱内衬垫料或铁桶（固体）和散状（液体）。,储存于干燥、通风的仓间内。容器必须密封。与酸类、易燃物、氧化剂隔离储运。,,
丙酸,propionic acid,C3H6O2,74.08,79－09－4,81613,无色液体，有刺激性气味。,与水混溶，可混溶于乙醇、乙醚、氯仿。,－22,140.7,0.99,339,5.37,2.56,1525.8,,1.33(39.7℃),易燃,一氧化碳、二氧化碳,52,不聚合,2.9,12.1,稳定,,465,碱类、强氧化剂、强还原剂。,易燃，其蒸气与空气可形成爆炸性混合物。遇明火、高热能引起燃烧爆炸。与氧化剂能发生强烈反应。,用雾状水保持火场中容器冷却。用水喷射逸出液体，使其稀释成不燃性混合物，并用雾状水保护消防人员。灭火剂：雾状水、抗溶性泡沫、干粉、二氧化碳、砂土。,,,LD50：3500mg/kg（大鼠经口），500 mg/kg（兔经皮）,吸入、食入、经皮肤吸收。,吸入本品对呼吸道有强烈刺激性，可发生肺水肿。蒸汽对眼有刺激性，液体可致严重损害。皮肤接触可致灼伤。大量口服出现恶心、呕吐和腹痛。,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟。就医。,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,误服者立即漱口，给饮牛奶或蛋清。就医。,生产过程密闭，加强通风。提供安全淋浴和洗眼设备。,,穿防酸碱工作服。,戴橡胶耐酸碱手套。,工作现场禁止吸烟、进食和饮水，饭前要洗手。工作毕，淋浴更衣。注意个人清洁卫生。,迅速撤离污染区人员至安全区，并进行隔离，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿防酸碱工作服。不要直接接触泄漏物。尽可能切断泄漏源，防止进入下水道、排洪沟等限制性空间。小量泄漏：用砂土或其它不燃材料吸附或吸收。也可以用大量水冲洗，洗水稀释后放入废水系统。大量泄漏：构筑围堤或挖坑收容；用泡沫覆盖，降低蒸气灾害。喷雾状水冷却和稀释蒸气、保护现场人员、把泄漏物稀释成不燃物。用防爆泵转移至槽车或专用收集器内，回收或运至废物处理场所处置。,20,1848,Ⅱ,小开口塑料桶；螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）外木板箱；玻璃瓶、塑料桶外木板箱或半花格箱；塑料瓶、镀锡薄钢板桶外满底花格箱。,储存于阴凉、通风仓间内。远离火种热源。仓内温度不宜超过30℃。保持容器密封。应与氧化剂、碱类分开存放。储存间内的照明、通风等设施应采用防爆型，开关设在仓外。配备相应品种和数量的消防器材。禁止使用易产生火花的机械设备和工具。分装和搬运作业要注意个人防护。搬运时要轻装轻卸，防止包装及容器损坏。,,
乙酰氯,propionic acid,C2H3ClO,78.50,75－36－5,32119,无色发烟液体，有强烈刺激性气味。,溶于丙酮、醚、乙酸。,－112,51,1.11,,,2.70,,,,易燃,一氧化碳、二氧化碳、氯化氢、光气,4,不聚合,,,稳定,,390,水、醇类、强氧化剂、强碱,易燃，其蒸气与空气可形成爆炸性混合物。遇明火、高热能引起燃烧爆炸。在空气中受热分解释放出剧毒的光气和氯化氢气体。遇水、水蒸气或乙醇剧烈反应甚至爆炸。其蒸气比空气重，能在较低处扩散到相当远的地方，遇明火会引着回燃。,二氧化碳、干粉、1211灭火剂、砂土。禁止用水或泡沫灭火。,,,,吸入、食入、经皮肤吸收。,本品对上呼吸道有刺激性，吸入后引起咳嗽、胸痛。口服引起口腔及消化道灼伤。,立即脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤。就医。,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,误服者用水漱口，给饮牛奶或蛋清。就医。,严加密闭，提供充分的局部排风。提供安全淋浴和洗眼设备。,可能接触其蒸气时，建议佩戴过滤式防毒面具（全面罩）或自给式呼吸器。紧急事态抢救或撤离时，建议佩戴氧气呼吸器。,穿胶布防毒衣。,戴橡胶手套。,工作现场禁止吸烟、进食和饮水，饭前要洗手。工作毕，淋浴更衣。保持良好的卫生习惯。,迅速撤离污染区人员至安全区，并进行隔离，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿消防防护服。不要直接接触泄漏物。尽可能切断泄漏源，防止进入下水道、排洪沟等限制性空间。小量泄漏：用砂土、干燥石灰或苏打灰混合。也可以用不燃性分散剂制成的乳液刷洗，洗水稀释后放入废水系统。大量泄漏：构筑围堤或挖坑收容；用防爆泵转移至槽车或专用收集器内，回收或运至废物处理场所处置。,7，20,1717,Ⅱ,小开口钢桶。,储存于阴凉、干燥、通风处以及密封容器内。远离火种、热源。仓内温度不宜超过30℃。防止阳光直射。不宜久存，以免变质。应与氧化剂、酸类分开存放。储存间内的照明、通风等设施应采用防爆型，开关设在仓外。配备相应品种和数量的消防器材。禁止使用易产生火花的机械设备和工具。搬运时要轻装轻卸，防止包装及容器损坏。雨天搬运要妥善遮盖。运输按规定路线行驶，勿在居民区和人口稠密区停留。,,
丙酰氯,propionyl chloride,CH3 CH2COCl,92.5,,32120,无色至浅黄色液体，有辛辣刺激性气味。,溶于醇或水，同时剧烈分解。,－94,80,1.065,,,3.2,,,,易燃,,12.2,,,,,,390,,易燃，遇明火、高热、强氧化剂有引起燃烧的危险。遇水或水蒸气易分解成有毒及腐蚀性烟雾。加热能分解释放出有毒的光气。,二氧化碳、干粉、水泥、砂土灭火。不可用水或泡沫灭火。,,,,吸入、食入、经皮肤吸收。,有强烈毒性和刺激性。对眼睛、皮肤和黏膜可引起严重灼伤。吸入高浓度可引起肺水肿，甚至死亡。,应使吸入蒸气的患者脱离污染区，安置休息并保暖；眼睛、皮肤接触用水冲洗，严重者就医诊治；误服者立即漱水、饮水及镁乳，送医院救治。,,,,严加密闭，提供充分的局部排风。提供安全淋浴和洗眼设备。,可能接触其蒸气时，建议佩戴过滤式防毒面具（全面罩）或自给式呼吸器。紧急事态抢救或撤离时，建议佩戴氧气呼吸器。,穿胶布防毒衣。,戴橡胶手套。,工作现场禁止吸烟、进食和饮水，饭前要洗手。工作毕，淋浴更衣。保持良好的卫生习惯。,首先切断一切火源，戴好防毒面具与手套；将碳酸钠洒在地面上，用大量水冲洗，经稀释的污水放入废水系统。,易燃液体  幅标志：腐蚀品,1815,Ⅱ,耐酸坛、玻璃瓶或塑料瓶（瓶口密封）外木板箱加固内衬垫料。,储存于阴凉、干燥、通风良好处或易燃液体专库内，远离热源、明火，避免受潮；与氧化剂隔离储运。,,
丁醇,butyl alcohol；1－butanol,C4H10O,74.12,71－36－3,33552,无色透明液体，具有特殊气味。,微溶于水，溶于乙醇、醚、多数有机溶剂。,－88.9,117.5,0.81,287,4.90,2.55,2673.2,,0.82（25℃）,易燃,一氧化碳、二氧化碳。,35,不聚合,1.4,11.2,稳定,,340,强酸、酰基氯、酸酐、强氧化剂。,易燃，其蒸气与空气可形成爆炸性混合物。遇明火、高热能引起燃烧爆炸。与氧化剂接触会猛烈反应。在火场中，受热的容器有爆炸危险。,用雾状水保持火场容器冷却，用水喷射逸出液体，使其稀释成不燃性混合物，并用雾状水保护消防人员。灭火剂：抗溶性泡沫、干粉、二氧化碳、、雾状水、1211灭火剂、砂土。,,,,吸入、食入、经皮肤吸收。,本品具有刺激性盒麻醉作用。主要症状为眼、鼻、喉部刺激，在角膜浅层形成半透明的空泡，头痛，头晕和嗜睡，手部可发生接触性皮炎。,立即脱去被污染的衣着，用肥皂水和清水彻底冲洗皮肤。,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,饮足量温水，催吐。就医。,生产过程密闭，全面通风。提供安全淋浴和洗眼设备。,一般不需要特殊防护，高浓度接触时佩戴过自吸滤式防毒面具（半面罩）。,穿防静电工作服。,戴一般作业手套。,工作场所禁止吸烟。保持良好的卫生习惯。,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入。切断火源。建议应急处理人员戴自给式呼吸器，穿消防防护服。尽可能切断泄漏源，防止进入下水道排洪沟等限制性空间。小量泄漏：用活性炭或其它惰性材料吸收。也可以用大量水冲洗，洗水稀释后放入废水系统。大量泄漏：构筑围堤或挖坑收容；用泡沫覆盖，降低蒸气灾害。用防爆泵转移至槽车或专用收集器内，回收或运至废物处理场所处置。,7,1120,Ⅲ,小开口钢桶；螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）外木板箱。,储存在阴凉、通风的仓间内。远离火种、热源。仓内温度不宜超过30℃。防止阳光直射。保持容器密封。应与氧化剂分开存放。储存间内的照明、通风等设施应采用防爆型，开关设在仓外。配备相应品种和数量的消防器材。禁止使用易产生火花的机械设备和工具。灌装时应注意流速，注意防止静电积聚。搬运时要轻装轻卸，防止包装及容器损坏。,,
醇酸调合漆,thinner for acrylic resin paint X-5,,,,33648（未列名）,黄色粘稠液体，有特殊芳香味。,可与二甲苯、醇酸漆稀释剂等混溶。,,,,,,,,,,易燃,一氧化碳、二氧化碳,23－61,不聚合,,,稳定,,,氧化剂,蒸气能与空气形成爆炸性混合物，遇明火、高热、氧化剂极易燃烧。燃烧时放出有害气体。流速过快，容易产生和积聚静电。,用泡沫、干粉、二氧化碳、砂土、1211灭火。,,,,吸入、食入、经皮肤吸收。,蒸气能刺激眼睛和粘膜。吸入产生眩晕、头痛、兴奋等症状。吸入高浓度蒸气能造成急性中毒。,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤。,提起眼睑，用大量清水冲洗。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。必要时进行人工呼吸。如呼吸停止，立即进行人工呼吸。就医。,误服者立即漱口、洗胃。就医。,加强通风。,戴防毒口罩，空气中浓度超标时，建议佩戴过滤式防毒面具（半面罩）。紧急事态抢救或撤离时，应该戴自给正压式呼吸器。,穿防静电工作服和防砸耐油工作鞋。,戴防化学品手套或皮肤保护膜。,工作现场禁止吸烟、进食和饮水。工作前避免饮用酒精性饮料。工作毕，淋浴更衣。进行就业前和定期的体检。,一般泄漏：切断火源，并且及时进行通风。可用沙土吸附。吸附物必须送环卫部门指定的填埋场所或处理场所。对污染地面可用肥皂水或洗涤剂冲刷，稀释后污水必须排入污水处理系统。大量泄漏：切断火源，尽可能切断泄漏源，防止进入下水道等限制性空间。疏散污染区人员至安全区，禁止无关人员进入污染区。建议应急处理人员戴自给正压式呼吸器，穿消防服。在确保安全情况下堵漏，利用围堤收容，然后收集、转移、回收或无害处理后按规定处理。,易燃液体,1866,Ⅱ,钢桶、钢制提桶。,储存在阴凉、通风的仓间内。远离火种、热源。仓内温度不宜超过35℃。防止阳光暴晒；包装应密封。与氧化剂、食用化学品、隔离储运。采用防爆型照明、通风设备。禁止使用产生火花的机械设备和工具。储区应配备合适的收容材料。仓库应有静电接地装置。搬运时轻装轻卸，防止包装破损。夏季早晚运输，运输按有关规定路线行驶。,,
碳化钙、电石,calcium carbide；acetylenogen,CaC2,64.10,75－20－7,43025,无色晶体，工业品为灰黑色块状物，断面为紫色或灰色。,,2300,,2.22,,,,,65,0.13（487℃）,遇湿易燃,乙炔、一氧化碳、二氧化碳,,不聚合,,,稳定,,,水、醇类、酸类。,干燥时不燃，遇水或湿气能迅速产生高度易燃的乙炔气体，在空气中到达一定的浓度时可发生爆炸性灾害。与酸类物质能发生剧烈反应。,禁止用水或泡沫灭火。二氧化碳也无效。须用干燥石墨粉或其它干粉（如干砂）灭火。,,,,吸入、食入。,损害皮肤，引起皮肤瘙痒、炎症、“鸟眼”样溃疡、黑皮病。皮肤灼伤表现为创面长期不愈及慢性溃疡型。接触工人出现汗少、牙釉质损害、龋齿发病率增高。,立即脱去被污染的衣着，用大量流动清水，就医。,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟。就医。,迅速脱离现场至空气新鲜处。保持呼吸道畅通。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,饮足量温水，催吐。就医。,密闭操作。全面排风。,作业时应自吸过滤式防尘口罩。,穿化学防护服。,戴橡胶手套。,工作场所禁止吸烟。注意个人卫生。,隔离泄漏污染区，限制出入。切断火源。建议应急处理人员戴自给式呼吸器，穿消防防护服。不要直接接触泄漏物。小量泄漏：用砂土、干燥石灰或苏打灰混合。使用无火花工具收集于干燥、洁净、有盖的容器中。转移回收至安全场所。大量泄漏：用塑料布、帆布覆盖，减少飞散。与有关技术部门联系，确定清除方法。,10,1402,Ⅱ,塑料袋、多层牛皮纸袋外全开口钢桶。,储存在干燥、清洁的仓间内。远离火种、热源。包装必须密封，切勿受潮。室内地面要高于室外自燃地面，以防雨水侵入。应与卤素（氟、氯、溴）、潮湿物品、易燃、可燃物等分开存放。配备相应的灭火器材。要充分通风，并保持干燥。搬运时要轻装轻卸，防止包装及容器损坏。禁止撞击和振荡。雨天不宜运输。,,
硝酸钠,sodium nitrate,NaNO3,85.01,7631－99－4,51055,无色透明或白微带黄色的菱形结晶，味微苦。易潮解。,易溶于水、液氨，微溶于乙醇、甘油。,306.8,,2.26,,,,,,,不燃,氮氧化物。,,不聚合,,,稳定,,,强还原剂、活性金属粉末、强酸、易燃或可燃物、铝。,强氧化剂。遇可燃物着火时，能助长火势。与易氧化物、硫磺、亚硫酸氢钠、还原剂、强酸接触能引起燃烧或爆炸。燃烧分解时，放出有毒的氮氧化物。受高热分解，产生有毒的氮氧化物。,消防人员须佩戴防毒面具，穿全身消防服，用雾状水、砂土灭火。切勿将水流直接射至熔融物，以免引起严重的流淌火灾或引起剧烈的沸溅。,,,,吸入、食入、经皮肤吸收。,对皮肤、粘膜有刺激性。大量口服中毒时，患者剧烈腹痛、呕吐、血便、休克、全身抽搐、昏迷，甚至死亡。,脱去被污染的衣着，用大量流动清水冲洗。,提起眼睑，用流动清水或生理盐水冲洗。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,误服者漱口，给饮牛奶或蛋清。就医。,生产过程密闭，加强通风。提供安全淋浴和洗眼设备。,可能接触其粉尘时，佩戴自吸过滤式防尘口罩。,穿聚乙烯防毒服。,戴橡胶手套。,工作现场禁止吸烟、进食和饮水。工作毕，淋浴更衣。保持良好的卫生习惯。,隔离泄漏污染区，限制出入。建议应急处理人员戴自给式呼吸器，穿一般作业工作服。不要直接接触泄漏物。勿使泄漏物与还原剂、有机物、易燃物接触。小量泄漏：用大量水冲洗，洗水稀释后放入废水系统。大量泄漏：收集回收或运至废物处理场所处置。,11,1498,Ⅰ,双层塑料袋、多层牛皮纸袋外钙塑箱；多层塑料袋、多层牛皮纸袋外瓦楞纸箱；塑料袋外塑料编织袋。,储存于阴凉、干燥、通风良好的仓间内。远离火种、热源。应与易燃或可燃物、还原剂、硫、磷等分开存放。切忌混储混运。搬运时要轻装轻卸，防止包装及容器损坏。,,
溴甲烷；甲基溴,bromomethane；methyl bromide,CH3Br,94.94,74－83－9,23041,无色气体，有甜味。,不溶于水，溶于乙醇、乙醚、氯仿等多数有机溶剂。,－93,3.6,1.72,194,,3.27,769.1,,243.18（25℃）,易燃,一氧化碳、二氧化碳、溴化氢。,－40,不聚合,10.0,16.0,稳定,0.580,536,强氧化剂、活性金属粉末。,与空气混合能形成爆炸性混合物。遇明火、高温以及铝粉、二甲亚砜有燃烧爆炸的危险。与活性金属粉末（如镁、铝等）能发生反应，引起分解。与碱性金属接触受冲击时会着火燃烧。,切断气源。若不能立即切断气源，则不允许熄灭正在燃烧的气体。喷水冷却容器，可能的话将容器从火场移至空旷处。灭火剂：雾状水、泡沫、二氧化碳。,,中国MAC（mg/m3） 1[皮]     前苏联 MAC（mg/m3）1 美国TVL－TWA  OSHA  20ppm，76 mg/m3[皮] [上限值]； ACGIH  5ppm，19mg/m3[皮],急性毒性： LD50  214mg/kg（大鼠经口）  LC50  1540mg/m3，2小时（小鼠吸入）,吸入、食入、经皮肤吸收。,主要损害中枢及周围神经系统；对皮肤、粘膜、肺、肾、肝、心血管等也有损害。以中枢神经系统和肺最早受到损害，最为严重。急性中毒：轻度有头痛、头晕、恶心、全身无力、嗜睡、震颤、咳嗽、咯痰等；较重者出现兴奋、谵妄、共济失调、肌痉挛，并可伴有多发性神经炎和肝、肾损害；严重中毒时，因脑水肿出现抽搐、躁狂、昏迷；或因肺水肿、神经系统严重损害或循环衰竭而死亡。接触极高浓度可迅速死亡。皮肤接触其液体可致灼伤。慢性中毒：常有头痛、全身乏力、嗜睡、记忆力减退等，亦可伴有周围神经炎和植物神经功能紊乱。可出现神经萎缩。,立即脱出被污染的衣着，用2大量流动清水冲洗，至少15分钟。就医。,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,误服者用水漱口，给饮牛奶或蛋清。就医。,严加密闭，提供充分的局部排风和全面通风。提供安全淋浴和洗眼设备。,空气中浓度超标时，建议佩戴过滤式防毒面具（半面罩）。紧急事态抢救或撤离时，必须佩戴正压自给式呼吸器；,穿透气型防毒服；,戴防化学品手套。,工作现场禁止吸烟、进食和饮水。工作毕，淋浴更衣。进入罐、限制性空间或其他高浓度区作业，须有人监护。,迅速撤离泄漏污染区人员至上风处，并立即隔离150m，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿防毒服。尽可能切断泄漏源。合理通风，加速扩散。喷雾状水稀释。如有可能，将残余气或漏出气用排风机送至水洗塔或与塔相连的通风橱内。漏气容器要妥善处理，修复、检验后再用。,6,1062,Ⅱ,钢质气瓶。,易燃有毒的压缩气体。储存于阴凉、通风仓间内。仓内温度不宜超过30℃。远离火种、热源。防止阳光直射。保持容器密封。应与氧化剂、氧气、压缩空气等分开存放。验收时要注意品名，注意验瓶日期，先进仓的先发用。平时要注意检查容器是否有泄漏现象。搬运时轻装轻卸，防止钢瓶和附件损坏。运输按规定路线行驶，勿在居民区和人口稠密区停留。,,
磷化铝,aluminium phosphide；aluminum monophosphide,AIP,57.95,20859－73－8,43036,浅黄色或灰绿色粉末，无味，易潮解。,不溶于冷水、溶于乙醇、乙醚。,>1000,升华,2.85(15℃),,,,,,,遇湿易燃,磷烷,,不聚合,,,稳定,0.089,,氧化剂、酸类。,遇酸或水和潮气时，能发生剧烈反应，放出剧毒的自燃的磷化氢气体，当温度超过60℃时会立即在空气中自燃。与氧化剂能发生强烈反应，引起燃烧和爆炸。,消防人员必须穿戴全身防火防毒服。灭火剂：干粉、干燥砂土。禁止用水、泡沫和酸碱灭火剂灭火。,,,,吸入、食入。,本品遇水或酸产生磷化氢而中毒。吸入磷化氢气体引起头晕、头痛、恶心、乏力、食欲减退、胸闷及上腹部疼痛等。严重者有中毒性精神症状，脑水肿，肺水肿，肝、肾及心肌损害，心律紊乱等。口服产生磷化氢中毒，有胃肠道症状，以及发热、畏寒、头晕、兴奋及心律紊乱，严重者有气急、少尿、抽搐、休克及昏迷等。,立即脱去被污染的衣着，用肥皂水和清水彻底冲洗皮肤。,提起眼睑，用流动清水或生理盐水冲洗。就医。,迅速脱离现场至空气新鲜处。保持呼吸道畅通。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,饮足量温水，催吐，洗胃。就医。,密闭操作。局部排风。,作业时应该佩戴自吸过滤式防尘口罩。空气中浓度较高时，建议佩戴自给式呼吸器。,穿化学防护服。,戴橡胶手套。,工作毕，淋浴更衣。注意个人清洁卫生。,隔离泄漏污染区，限制出入。切断火源。建议应急处理人员戴自吸过滤式防尘口罩，穿一般作业工作服。小量泄漏：避免扬尘，用洁净的铲子收集于干燥、洁净、有盖的容器中。大量泄漏：用塑料布、帆布覆盖，减少飞散。然后收集回收或运至废物处理场所处置。,10，13,1397,Ⅰ,螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）外木板箱；螺纹口玻璃瓶、塑料瓶或塑料袋再装入金属桶（罐）或塑料桶（罐）外木板箱。,储存在阴凉、干燥、通风良好的仓间内。远离火种、热源。包装要求密封，不可与空气接触。防止受潮和雨淋。相对温度保持在75％以下。应与氧化剂、酸类分开存放。搬运时要轻装轻卸，保持包装完整，防止洒漏。雨天不宜运输。,,
丁醇；正丁醇,butyl alcohol；1-butanol,C4H10O,74.12,71－36－3,33552,无色透明液体，具有特殊气味。,微溶于水，溶于乙醇、醚、多数有机溶剂。,－88.9,117.5,0.81,287,4.90,2.55,2673.2,无资料,0.82（25℃）,易燃,一氧化碳、二氧化碳。,35,不聚合,1.4,11.2,稳定,无资料,340,强酸、酰基氯、酸酐、强氧化剂。,易燃，其蒸气与空气可形成爆炸性混合物。遇明火、高热能引起燃烧爆炸。与氧化剂会猛烈反应。在火场中，受热的容器有爆炸危险。,用雾状水保持火场容器冷却，用水喷射逸出液体，使其稀释成不燃性混合物，并用雾状水保护消防人员。灭火剂：抗溶性泡沫、干粉、二氧化碳、雾状水、1211灭火剂、砂土。,,,急性毒性： LD50  4360mg/kg（大鼠经口） 3400mg/kg（兔经皮）  LC50  24240mg/m3，4小时（大鼠吸入）,吸入、食入、经皮吸收。,本品具有刺激和麻醉作用。主要症状为眼、鼻、喉部刺激，在角膜浅层形成半透明的空泡，头痛、头晕和嗜睡，手部可发生接触性皮炎。,脱去被污染的衣着，用肥皂水和清水彻底冲洗皮肤。,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟。就医。,迅速脱离现场至空气新鲜处。保持呼吸道畅通。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,饮足量温水，催吐。就医。,生产过程密闭，全面通风。提供安全淋浴和洗眼设备。,一般不需要防护，高浓度接触时可佩戴自吸过滤式防毒面具（半面罩）。,穿防静电工作服。,戴一般作业防护手套。,工作现场严禁吸烟。保持良好的卫生习惯。,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿消防防护服。尽可能切断泄漏源，防止进入下水道、排洪沟等限制性空间。小量泄漏：用活性炭或其它惰性材料吸收。也可以用大量水冲洗，洗水稀释后放入废水系统。大量泄漏：构筑围堤或挖坑收容；用泡沫覆盖，降低蒸气灾害。用防爆泵转移至槽车或专用收集器内，回收或运至废物处理场所处置。,7,1120,Ⅲ,小开口钢桶；螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）外木板箱。,储存在阴凉、通风仓间内。远离火种、热源。仓内温度不宜超过30℃。防止阳光直射。保持容器密封。应与氧化剂分开存放。储存间内的照明、通风等设施应采用防爆型，开关设在仓外。配备相应品种和数量的消防器材。储存时要有防火防爆技术措施。禁止使用易产生火花的机械设备工具。充装要控制流速，注意防止静电积聚。搬运时要轻装轻卸，防止包装及容器损坏。,,
硝基木器漆,Nitrocellulose wooden furniture varnish Q22-3,,,,32198,液体。由硝化棉、醇酸树脂、顺酐树脂、增韧剂及稀料组成。,,,,,,,,,无资料,,易燃,,≤23,,,,,无资料,,,易燃，遇明火、高热即燃烧。,消防人员须穿戴防毒面具与消防服，用干粉、泡沫、雾状水、二氧化碳、1211灭火。,,,,,蒸气能刺激眼睛和粘膜。吸入蒸气能产生眩晕、头痛、兴奋等症状。吸入高浓度蒸气能造成急性中毒。,先用稀料擦清油污，再用肥皂彻底洗涤。,,,,,,,,,首先切断一切火源，戴好防毒面具与手套。用砂土吸收，倒至空旷地方掩埋。对污染地面用油漆刀铲清。大面积泄漏应设雾状水幕抑爆。,易燃液体,1139，1263,Ⅱ,铁听或铁桶装。,储存于阴凉通风的仓间内，远离火种及热源，防止阳光直射。与氧化剂（包括硝酸、过氧化氢等）隔离储运。搬运时轻装轻卸，防止包装损坏。,,
硝化棉，硝化纤维素,,,,,41031,白色纤维，与棉纤维一样，但较棉纤维硬和脆。,,,,,,,,,无资料,,易燃,,,,,,,无资料,,,易燃。 能着火和爆炸，威力取决于含氮量的多少。干燥的硝化棉易被点燃，松散的硝化棉在空气中燃烧不留残渣，增大密度时，燃烧速度下降。大量硝化棉在堆积和密闭容器中燃烧能转为爆轰。,消防人员须戴好氧气防毒面具在一定距离的上风方向操作，用大量水灭火。禁止用砂土压盖。,,,,,,,,,,,,,,,首先切断一切火源，戴好防毒面具与手套；将泄漏物用水润湿，在空旷地方倒入铁桶，加等体积的10％氢氧化钠溶液，放置1小时，稀释后放入废水系统。,易燃固体,2557,,按主管当局的规定。,一般用25％以上的水、乙醇或增塑剂（18％以上）湿润。储存在铁桶内（内层二层塑料袋封口）。搬运时轻装轻卸，防止容器破损液体挥发，不得摩擦铁发热或受热，须使物品永久保持湿润。储存在阴凉、通风的爆炸品专库内。库温不宜超过30℃。须防热、防晒，避免与电灯、蒸气管远或其他热源接触，并严格控制各种明火，远离容易产生火源的地方。与有机胺、酸、碱、还原剂以及其他抵触性物品隔离储运。必须掌握先进先出，经常检查湿润剂干燥情况，必要时增加湿润剂。要定时将包装倒放，以使湿润剂分布均匀。储存期不宜过长，以防硝化棉变质产生事故。,,
